城市,人均收入（人民币/年）,房价（人民币/平方米）,收入 / 房价（平方米/年）,统计年份,执政政府
嘉義（縣）,63209,6201.55,10.192451887028,2019,中華民國政府
澎湖,77795,7892.88,9.856351547217,2019,中華民國政府
苗栗,71122,7540.52,9.431975513625,2019,中華民國政府
雲林,67124,7258.63,9.247475074498,2019,中華民國政府
嘉義（市）,81104,8879.49,9.133857913011,2019,中華民國政府
澳門,100000,87949.45,1.137016774977,2019,"中华人民共和国政府, 澳門特別行政區"
屏東,66323,7470.05,8.878521562774,2019,中華民國政府
新加坡,266909.28,77438.11,3.446743212095,2020,新加坡政府
台東,69352,9725.16,7.131193728432,2019,中華民國政府
基隆,76664,10782.24,7.110210865275,2019,中華民國政府
彰化,66630,9654.69,6.901309104694,2019,中華民國政府
高雄,77309,11205.07,6.899466045281,2019,中華民國政府
花蓮,75192,10923.19,6.883703387014,2019,中華民國政府
台南,71199,10500.35,6.78063112182,2019,中華民國政府
新竹（市）,93645,14094.43,6.644114022348,2019,中華民國政府
桃園,83317,12684.99,6.568156537766,2019,中華民國政府
宜蘭,72560,11205.07,6.475640045087,2019,中華民國政府
檳城,,22500,0,,馬來西亞聯邦政府
新竹（縣）,82980,13107.82,6.33057213175,2019,中華民國政府
台中,82199,13883.02,5.920829905885,2019,中華民國政府
长沙,57971,10071,5.756230761593,2020,中华人民共和国政府
嘉兴,64124,12116,5.292505777484,2020,中华人民共和国政府
中山,54737,11082,4.939270889731,2020,中华人民共和国政府
烟台,49434,10172,4.859811246559,2020,中华人民共和国政府
无锡,64714,13775,4.697931034483,2020,中华人民共和国政府
沈阳,47413,10187,4.654265240012,2020,中华人民共和国政府
贵阳,40305,8799,4.580634162973,2020,中华人民共和国政府
佛山,57445,12712,4.518958464443,2020,中华人民共和国政府
惠州,45475,10100,4.502475247525,2020,中华人民共和国政府
新北,86517,20648.34,4.190022055042,2019,中華民國政府
泉州,50968,12191,4.180789106718,2020,中华人民共和国政府
常州,60529,14838,4.079323358943,2020,中华人民共和国政府
台州,62598,15603,4.011920784465,2020,中华人民共和国政府
南昌,46796,12123,3.860100635156,2020,中华人民共和国政府
绍兴,66694,17317,3.851359935324,2020,中华人民共和国政府
金华,61545,16863,3.649706457926,2020,中华人民共和国政府
成都,48593,13635,3.563843050972,2020,中华人民共和国政府
昆明,48018,13477,3.56295911553,2020,中华人民共和国政府
徐州,37523,10570,3.54995269631,2020,中华人民共和国政府
重庆,40006,11325,3.532538631347,2020,中华人民共和国政府
南宁,38542,10961,3.516285010492,2020,中华人民共和国政府
济南,53329,15347,3.474881084251,2020,中华人民共和国政府
太原,38329,11065,3.463985539991,2020,中华人民共和国政府
西安,43713,12659,3.453116359902,2020,中华人民共和国政府
合肥,48283,14322,3.371247032537,2020,中华人民共和国政府
青岛,55905,16653,3.357052783282,2020,中华人民共和国政府
南通,52484,15644,3.354896445922,2020,中华人民共和国政府
苏州,70966,21179,3.350771991123,2020,中华人民共和国政府
东莞,58052,17596,3.29915889975,2020,中华人民共和国政府
温州,63481,19690,3.224022346369,2020,中华人民共和国政府
大连,47380,14995,3.159719906636,2020,中华人民共和国政府
兰州,40152,12813,3.133692343713,2020,中华人民共和国政府
台北,106955,34179,3.129260657129,2019,中華民國政府
郑州,42887,13818,3.103705311912,2020,中华人民共和国政府
武汉,50362,16734,3.009561372057,2020,中华人民共和国政府
珠海,58475,21059,2.776722541431,2020,中华人民共和国政府
石家庄,40247,15044,2.675285828237,2020,中华人民共和国政府
宁波,68008,25490,2.668026677128,2020,中华人民共和国政府
香港,319432,160991.93,1.984149143376,2020,"中华人民共和国政府, 香港特別行政區"
杭州,68666,27474,2.499308437068,2020,中华人民共和国政府
天津,47659,19902,2.394683951362,2020,中华人民共和国政府
南京,67553,28741,2.350405344282,2020,中华人民共和国政府
广州,68304,32586,2.096114895968,2020,中华人民共和国政府
福州,49300,23720,2.078414839798,2020,中华人民共和国政府
上海,76437,52322,1.460895990214,2020,中华人民共和国政府
深圳,64878,45110,1.438217690091,2020,中华人民共和国政府
北京,73849,57691,1.280078348443,2020,中华人民共和国政府
厦门,61331,48616,1.261539410894,2020,中华人民共和国政府
聖誕島,,,,,澳大利亞聯邦政府
